GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
timesheet,tn.esprit.timesheet.services,TimesheetServiceImpl,153,3,14,0,37,1,13,1,6,1
timesheet,tn.esprit.timesheet.services,EmployeServiceImpl,284,33,31,1,67,9,32,3,16,3
timesheet,tn.esprit.timesheet.services,EntrepriseServiceImpl,126,11,14,0,31,3,13,2,6,2
timesheet,tn.esprit.timesheet.services,ContractServiceImpl,57,11,6,0,15,3,6,2,3,2
timesheet,tn.esprit.timesheet.entities,Entreprise,28,31,0,0,12,10,6,5,6,5
timesheet,tn.esprit.timesheet.entities,Mission,44,3,0,0,19,2,11,1,11,1
timesheet,tn.esprit.timesheet.entities,TimesheetPK,159,0,26,0,49,0,25,0,12,0
timesheet,tn.esprit.timesheet.entities,MissionExterne,25,3,0,0,10,2,5,1,5,1
timesheet,tn.esprit.timesheet.entities,Contrat,26,24,0,0,12,10,7,5,7,5
timesheet,tn.esprit.timesheet.entities,Role,0,44,0,0,0,2,0,1,0,1
timesheet,tn.esprit.timesheet.entities,Timesheet,31,0,0,0,13,0,9,0,9,0
timesheet,tn.esprit.timesheet.entities,Employe,151,38,18,0,35,16,24,7,15,7
timesheet,tn.esprit.timesheet.entities,Departement,41,3,0,0,18,2,11,1,11,1
timesheet,tn.esprit.timesheet,TimesheetApplication,5,3,0,0,2,1,1,1,1,1
timesheet,tn.esprit.timesheet,PerfomW,15,7,0,0,5,2,1,2,1,2
timesheet,tn.esprit.timesheet.controller,RestControlEntreprise,39,3,0,0,11,1,7,1,7,1
timesheet,tn.esprit.timesheet.controller,RestControlTimesheet,41,3,0,0,10,1,6,1,6,1
timesheet,tn.esprit.timesheet.controller,RestControlEmploye,104,3,0,0,29,1,18,1,18,1
